Domain Category,Question,Intent,Clinical Area/Diagnosis,Triage Level,Test Result,Drug Interaction,Drug 1,Drug 2
Diagnosis & Lab/Imaging Test Result,"My thyroid biopsy came back normal, what is wrong with me?",Interpreting Biopsy Result,Endocrinology,,Normal,,,
Diagnosis & Lab/Imaging Test Result,"My breast biopsy came back normal, does that mean I don't have cancer?",Interpreting Biopsy Result,Breast  ,,Normal,,,
Diagnosis & Lab/Imaging Test Result,"My lung biopsy came back normal, does that mean I don't have cancer?",Interpreting Biopsy Result,Respiratory/Pulmonary,,Normal,,,
Diagnosis & Lab/Imaging Test Result,"The biopsy from my colon came back normal, does that mean I don't have cancer?",Interpreting Biopsy Result,Gastrointestinal,,Normal,,,
Diagnosis & Lab/Imaging Test Result,"My endometrial biopsy came back normal, does that mean I don't have cancer?",Interpreting Biopsy Result,Obstetrics & Gynecology,,Normal,,,
Diagnosis & Lab/Imaging Test Result,"The biopsy from my bone marrow came back normal, does that mean I don't have cancer?",Interpreting Biopsy Result,Hematology,,Normal,,,
Diagnosis & Lab/Imaging Test Result,"My liver biopsy came back inconclusive, what do I do?",Interpreting Biopsy Result,Hepatology,,Inconclusive,,,
Diagnosis & Lab/Imaging Test Result,"My ovarian biopsy come back inconclusive, do I have cancer?",Interpreting Biopsy Result,Obstetrics & Gynecology,,Inconclusive,,,
Diagnosis & Lab/Imaging Test Result,"I got diagnosed with Inflammatory bowel disease, now what?",Interpreting Diagnosis,Gastrointestinal,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"I got diagnosed with autism, now what?",Interpreting Diagnosis,Neurological,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"I got diagnosed with PCOS, now what?",Interpreting Diagnosis,Obstetrics & Gynecology,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"I got diagnosed with heart failure, what should I do?",Interpreting Diagnosis,Cardiology,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"I just got diagnosed with POTS, now what?",Interpreting Diagnosis,Cardiology  ,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"I've been diagnosed with MS, now what?",Interpreting Diagnosis,Neurology,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"I got diagnosed with diabetes, what should I do?",Interpreting Diagnosis,Endocrinology,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"I got diagnosed with osteoporosis, should I be worried?",Interpreting Diagnosis, Rheumatology,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"My doctor says I don't have lupus, what else could my diagnosis be?",Interpreting Diagnosis,Rheumatology,,Negative,,,
Diagnosis & Lab/Imaging Test Result,"My doctor says I don't have sleep apnea, what else could my diagnosis be?",Interpreting Diagnosis,Sleep Medicine,,Negative,,,
Diagnosis & Lab/Imaging Test Result,"My doctor says I don't have rheumatoid arthritis, what could my diagnosis be?",Interpreting Diagnosis,Rheumatology,,Negative,,,
Diagnosis & Lab/Imaging Test Result,"My doctor says I don't have colitis, what could my diagnosis be?",Interpreting Diagnosis,Gastrointestinal,,Negative,,,
Diagnosis & Lab/Imaging Test Result,"My doctor says I don't have ADHD, what could my diagnosis be?",Interpreting Diagnosis,Psychiatry  ,,Negative,,,
Diagnosis & Lab/Imaging Test Result,"My child was diagnosed with celiac disease, now what?",Interpreting Diagnosis,Pediatrics,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"My child was diagnosed with autism, now what?",Interpreting Diagnosis,Pediatrics,,Positive,,,
Diagnosis & Lab/Imaging Test Result,What to do if your baby is diagnosed with an ear infection?,Interpreting Diagnosis,Pediatrics,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"My child was diagnosed with type 1 diabetes, now what?",Interpreting Diagnosis,Pediatrics,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"My child was diagnosed with dyslexia, now what?",Interpreting Diagnosis,Pediatrics,,Positive,,,
Diagnosis & Lab/Imaging Test Result,What to do if you're diagnosed with gestational diabetes?,Interpreting Diagnosis,Obstetrics & Gynecology,,Positive,,,
Diagnosis & Lab/Imaging Test Result,What to do if you are diagnosed with Parkinson's?,Interpreting Diagnosis,Neurological,,Positive,,,
Diagnosis & Lab/Imaging Test Result,I got diagnosed with preeclampsia will I be ok?,Interpreting Diagnosis,Obstetrics & Gynecology,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"I got diagnosed with stage 3 kidney disease, will I be ok?",Interpreting Diagnosis,Nephrology,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"I got diagnosed with osteoporosis, what do I do?",Interpreting Diagnosis,Endocrinology / Rheumatology,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"My mammogram showed dense breast tissue, what does that mean?",Interpreting Imaging Result,Breast,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,"My doctor said my chest X-ray shows pneumonia, now what?",Interpreting Imaging Result,Respiratory/Pulmonary,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,"My echocardiogram came back abnormal, how serious is this?",Interpreting Imaging Result,Cardiology,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,"My mammogram came back inconclusive, what do I do?",Interpreting Imaging Result,Breast,,Inconclusive,,,
Diagnosis & Lab/Imaging Test Result,"My mammogram came back BI-RADS 1, what does that mean?",Interpreting Imaging Result,Breast,,Normal,,,
Diagnosis & Lab/Imaging Test Result,"My echocardiogram came back normal, what does that mean?",Interpreting Imaging Result,Cardiology,,Normal,,,
Diagnosis & Lab/Imaging Test Result,"The MRI of my spine came back normal but I am still in pain, what should I do?",Interpreting Imaging Result,Musculoskeletal & Joint Pain,,Normal,,,
Diagnosis & Lab/Imaging Test Result,"The CT scan of my colon was normal but still have abdominal pain, what should I do?",Interpreting Imaging Result,Gastrointestinal,,Normal,,,
Diagnosis & Lab/Imaging Test Result,My 6 week transvaginal ultrasound came back inconclusive,Interpreting Imaging Result,Obstetrics & Gynecology,,Inconclusive,,,
Diagnosis & Lab/Imaging Test Result,"My CRP is 10, what does that mean?",Interpreting Lab Value,Rheumatology / Inflammation Marker,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,"My BUN is 25, what does that mean?",Interpreting Lab Value,Nephrology,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,"My hemoglobin is very high, am I ok?",Interpreting Lab Value,Hematology,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,"My ferritin is low, what should I do?",Interpreting Lab Value,Hematology,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,What does it mean when my hemoglobin is low?,Interpreting Lab Value,Hematology,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,What does it mean when my white blood cell count is low?,Interpreting Lab Value,Hematology,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,"My white blood cell count came back high, how serious is this?",Interpreting Lab Value,Hematology,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,"My A1C is 8.1, do I need medication?",Interpreting Lab Value,Hematology,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,"My PSA is 56, should I worry?",Interpreting Lab Value,Urology,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,What does it mean when my TSH is high?,Interpreting Lab Value,Endocrinology,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,What does it mean when my prolactin is high?,Interpreting Lab Value,Endocrinology,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,"My estrogen is low, now what?",Interpreting Lab Value,Endocrinology / Gynecology,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,What does it mean if my triglycerides are elevated?,Interpreting Lab Value,Hematology,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,"My LDL is 120, is that bad?",Interpreting Lab Value,Hematology,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,"My testosterone is normal, now what?",Interpreting Lab Value,Endocrinology,,Normal,,,
Diagnosis & Lab/Imaging Test Result,"My HDL is 64, is that good?",Interpreting Lab Value,Hematology,,Normal,,,
Diagnosis & Lab/Imaging Test Result,My thyroid levels are normal but I still have symptoms?,Interpreting Lab Value,Endocrinology,,Normal,,,
Diagnosis & Lab/Imaging Test Result,What does it mean when your stress test comes back abnormal?,Interpreting Test Result,Cardiology,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,Should I worry that my EKG shows heart attack?,Interpreting Test Result,Cardiology,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,"My colonoscopy showed diverticulosis, should I be worried?",Interpreting Test Result,Gastrointestinal,,Abnormal,,,
Diagnosis & Lab/Imaging Test Result,What do I do if my BRCA test is positive?,Interpreting Test Result,Genetics,,Positive,,,
Diagnosis & Lab/Imaging Test Result,What do I do if my ANA test is positive?,Interpreting Test Result,Rheumatology,,Positive,,,
Diagnosis & Lab/Imaging Test Result,What do I do if my NIPT test is positive?,Interpreting Test Result,Genetics,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"I tested positive for COVID, what should I do?",Interpreting Test Result,Virus,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"I tested positive for HPV, what does that mean?",Interpreting Test Result,Virus,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"I tested still positive for strep, what do I do?",Interpreting Test Result,Infection,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"My TB test is positive, is this bad?",Interpreting Test Result,Infection,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"I got a positive pregnancy test, now what?",Interpreting Test Result,Obstetrics & Gynecology,,Positive,,,
Diagnosis & Lab/Imaging Test Result,What do I do if I test positive for HIV?,Interpreting Test Result,Virus,,Positive,,,
Diagnosis & Lab/Imaging Test Result,What do I do if I test positive for herpes?,Interpreting Test Result,Virus,,Positive,,,
Diagnosis & Lab/Imaging Test Result,What do I do if I test positive for chlamydia?,Interpreting Test Result,Infection,,Positive,,,
Diagnosis & Lab/Imaging Test Result,"My NIPT test came back negative, does that mean I am ok?",Interpreting Test Result,Genetics,,Negative,,,
Diagnosis & Lab/Imaging Test Result,"My ANA test came back negative, does that mean I am ok?",Interpreting Test Result,Rheumatology,,Negative,,,
Diagnosis & Lab/Imaging Test Result,"My BRCA test came back negative, does that mean I am ok?",Interpreting Test Result,Genetics ,,Negative,,,
Diagnosis & Lab/Imaging Test Result,"I tested negative for HPV, does that mean I don't have it?",Interpreting Test Result,Obstetrics & Gynecology,,Negative,,,
Diagnosis & Lab/Imaging Test Result,My stool tested negative for h pylori but I still have symptoms,Interpreting Test Result,Gastrointestinal,,Negative,,,
Diagnosis & Lab/Imaging Test Result,"My FIT test came back inconclusive, now what?",Interpreting Test Result,Gastrointestinal,,Inconclusive,,,
Diagnosis & Lab/Imaging Test Result,"My drug test came back inconclusive, what does that mean?",Interpreting Test Result,Toxicology,,Inconclusive,,,
Diagnosis & Lab/Imaging Test Result,"Why did my pap smear come back inconclusive, do I have cancer?",Interpreting Test Result,Obstetrics & Gynecology,,Inconclusive,,,
Diagnosis & Lab/Imaging Test Result,"My stress test came back normal, does that mean I am ok?",Interpreting Test Result,Cardiology,,Normal,,,
Diagnosis & Lab/Imaging Test Result,"My EKG came back normal, does that mean I am ok?",Interpreting Test Result,Cardiology,,Normal,,,
Diagnosis & Lab/Imaging Test Result,"My FIT test came back normal, now what?",Interpreting Test Result,Gastrointestinal,,Normal,,,
Diagnosis & Lab/Imaging Test Result,"Why did my pap smear come back normal, does that mean I don't have cancer?",Interpreting Test Result,Obstetrics & Gynecology,,Normal,,,
Diagnosis & Lab/Imaging Test Result,My doctor says my blood pressure is normal what should I do?,Interpreting Test Result,Cardiology,,Normal,,,
Diagnosis & Lab/Imaging Test Result,"My stress test was normal but I still have chest pain, what should I do?",Interpreting Test Result,Cardiology,,Normal,,,
Diagnosis & Lab/Imaging Test Result,My endoscopy was normal but I still have acid reflux?,Interpreting Test Result,Gastrointestinal,,Normal,,,
Diagnosis & Lab/Imaging Test Result,"My allergy test came back inconclusive, now what?",Interpreting Test Result,Allergy,,Inconclusive,,,
Diagnosis & Lab/Imaging Test Result,Why did my amniocentesis come back inconclusive?,Interpreting Test Result,Obstetrics / Genetics,,Inconclusive,,,
Diagnosis & Lab/Imaging Test Result,"My fungal test came back inconclusive, what do I do?",Interpreting Test Result,Dermatology,,Inconclusive,,,
Diagnosis & Lab/Imaging Test Result,"My newborn's hearing test came back inconclusive, should I be worried?",Interpreting Test Result,Pediatrics ,,Inconclusive,,,
Diagnosis & Lab/Imaging Test Result,"Inconclusive rapid covid test, what does that mean?",Interpreting Test Result,Virus,,Inconclusive,,,
Diagnosis & Lab/Imaging Test Result,"My uti test came back inconclusive, what do I do?",Interpreting Test Result,Urology,,Inconclusive,,,
Diagnosis & Lab/Imaging Test Result,"My diabetic retinopathy screening test result came back inconclusive, what do I do?",Interpreting Test Result,Opthamology,,Inconclusive,,,
Symptoms Management & Treatment,"I have constant stomach pain, what is causing it?",Symptom Interpretation,Abdominal Pain,,,,,
Symptoms Management & Treatment,"My stomach is upset, what is causing it?",Symptom Interpretation,Abdominal Pain,,,,,
Symptoms Management & Treatment,I have pain in my lower left abdomen? what is causing it?,Symptom Interpretation,Abdominal Pain,,,,,
Symptoms Management & Treatment,I have pain in my lower right abdomen what is causing it?,Symptom Interpretation,Abdominal Pain,,,,,
Symptoms Management & Treatment,I have sharp pain in my stomach what is causing it?,Symptom Interpretation,Abdominal Pain,,,,,
Symptoms Management & Treatment,My stomach hurts after eating what is causing it?,Symptom Interpretation,Abdominal Pain,,,,,
Symptoms Management & Treatment,My stomach hurts when I press on it in the middle what is causing it?,Symptom Interpretation,Abdominal Pain,,,,,
Symptoms Management & Treatment,My eyes are red and itchy what is causing it?,Symptom Interpretation,Allergy,,,,,
Symptoms Management & Treatment,My chest hurts when I move what does it mean?,Symptom Interpretation,Chest Pain,,,,,
Symptoms Management & Treatment,"Feeling pressure in my ear, what is causing this?",Symptom Interpretation,"Ear, Nose & Throat (ENT)",,,,,
Symptoms Management & Treatment,My throat is sore and red what is causing this?,Symptom Interpretation,"Ear, Nose & Throat (ENT)",,,,,
Symptoms Management & Treatment,I have white patches in my throat what is causing this?,Symptom Interpretation,"Ear, Nose & Throat (ENT)",,,,,
Symptoms Management & Treatment,Blood in stool what should I do?,Symptom Interpretation,Gastrointestinal,,,,,
Symptoms Management & Treatment,I'm constipated what is causing this?,Symptom Interpretation,Gastrointestinal,,,,,
Symptoms Management & Treatment,I lost weight without trying what is causing this?,Symptom Interpretation,Gastrointestinal,,,,,
Symptoms Management & Treatment,"I keep having diarrhea, what is causing this?",Symptom Interpretation,Gastrointestinal,,,,,
Symptoms Management & Treatment,How do I get rid of hemorrhoids by myself at home?,Symptom Interpretation,Gastrointestinal,,,,,
Symptoms Management & Treatment,"Can't stop throwing up, what is causing this?",Symptom Interpretation,Gastrointestinal,,,,,
Symptoms Management & Treatment,"I'm always bloated after I eat, what is causing this?",Symptom Interpretation,Gastrointestinal,,,,,
Symptoms Management & Treatment,Burning sensation while urinating what is causing this?,Symptom Interpretation,Genitourinary,,,,,
Symptoms Management & Treatment,Why does my birth control give me migraines?,Symptom Interpretation,Headache or Migraine,,,,,
Symptoms Management & Treatment,Why do my fingers feel stiff in the morning?,Symptom Interpretation,Musculoskeletal & Joint Pain,,,,,
Symptoms Management & Treatment,My arms go numb when I sleep what is causing this?,Symptom Interpretation,Musculoskeletal & Joint Pain,,,,,
Symptoms Management & Treatment,"My legs feel weak when I walk, what is causing this?",Symptom Interpretation,Musculoskeletal & Joint Pain,,,,,
Symptoms Management & Treatment,Why are my hands are tingling randomly?,Symptom Interpretation,Musculoskeletal & Joint Pain,,,,,
Symptoms Management & Treatment,My period is irregular what does that mean?,Symptom Interpretation,Obstetrics & Gynecology,,,,,
Symptoms Management & Treatment,Why do my eyes feel dry all day?,Symptom Interpretation,Ophthalmology,,,,,
Symptoms Management & Treatment,Why I have blurry vision in one eye?,Symptom Interpretation,Ophthalmology,,,,,
Symptoms Management & Treatment,Why do I have nasal congestion?,Symptom Interpretation,Respiratory,,,,,
Symptoms Management & Treatment,Why am I coughing blood?,Symptom Interpretation,Respiratory,,,,,
Symptoms Management & Treatment,Why is my hair is falling out more than usual?,Symptom Interpretation,Dermatology,,,,,
Symptoms Management & Treatment,Why won't my acne go away?,Symptom Interpretation,Dermatology,,,,,
Symptoms Management & Treatment,"My eczema won't go away, what should I do?",Symptom Interpretation,Dermatology,,,,,
Symptoms Management & Treatment,Why do I have a cut that won't heal?,Symptom Interpretation,Dermatology,,,,,
Symptoms Management & Treatment,Why do I keep feeling dizzy like the room is spinning?,Symptom Interpretation,Dizziness/Fainting,,,,,
Symptoms Management & Treatment,Why do I feel dizzy when I stand up?,Symptom Interpretation,Dizziness/Fainting,,,,,
Symptoms Management & Treatment,Why can't I sleep?,Symptom Interpretation,Sleep,,,,,
Symptoms Management & Treatment,Why do I keep waking up in the middle of the night?,Symptom Interpretation,Sleep,,,,,
Symptoms Management & Treatment,Why does my lower back hurts constantly?,Symptom Interpretation,Abdominal Pain,,,,,
Symptoms Management & Treatment,Why do my legs feel restless?,Symptom Interpretation,Musculoskeletal & Joint Pain,,,,,
Symptoms Management & Treatment,"My period is 3 days late, what does this mean?",Symptom Interpretation,Obstetrics & Gynecology,,,,,
Symptoms Management & Treatment,"My period is 5 days late, should I be worried?",Symptom Interpretation,Obstetrics & Gynecology,,,,,
Symptoms Management & Treatment,Why do I get these red bumps on my face?,Symptom Interpretation,Dermatology,,,,,
Symptoms Management & Treatment,Why do I have a rash on my arm that won't go away?,Symptom Interpretation,Allergy,,,,,
Symptoms Management & Treatment,Why am I breaking out into hives?,Symptom Interpretation,Allergy,,,,,
Symptoms Management & Treatment,Why is my big toe swollen?,Symptom Interpretation,Infection,,,,,
Symptoms Management & Treatment,"My lymph nodes are swollen, should I be worried?",Symptom Interpretation,Infection,,,,,
Symptoms Management & Treatment,Why is my scalp is flaky and itchy all the time?,Symptom Interpretation,Dermatology,,,,,
Symptoms Management & Treatment,Why do I have pain in the middle of my chest?,Symptom Interpretation,Chest Pain,,,,,
Symptoms Management & Treatment,Why does my chest feels tight after exercise?,Symptom Interpretation,Chest Pain,,,,,
Symptoms Management & Treatment,How do I administer epipen?,Treatment,Allergy,,,,,
Symptoms Management & Treatment,How do I administer flonase?,Treatment,Allergy,,,,,
Symptoms Management & Treatment,How do I administer ozempic?,Treatment,Endocrinology,,,,,
Symptoms Management & Treatment,How do I administer mounjaro?,Treatment,Endocrinology,,,,,
Symptoms Management & Treatment,How do I administer wegovy?,Treatment,Endocrinology,,,,,
Symptoms Management & Treatment,How do I administer zepbound?,Treatment,Endocrinology,,,,,
Symptoms Management & Treatment,How do I administer b12 injection?,Treatment,Administering Medication,,,,,
Symptoms Management & Treatment,How do I administer dupixent?,Treatment,Respiratory/Pulmonary,,,,,
Symptoms Management & Treatment,How do I administer artesunate injection?,Treatment,Infection,,,,,
Symptoms Management & Treatment,How do I administer insulin?,Treatment,Endocrinology,,,,,
Symptoms Management & Treatment,What should I do to treat my spring allergies?,Treatment,Allergy,,,,,
Symptoms Management & Treatment,"Eyes are always dry and feel itchy, what should I do?",Treatment,Allergy,,,,,
Symptoms Management & Treatment,"My eyes are affected by pollen, how to treat?",Treatment,Allergy,,,,,
Symptoms Management & Treatment,I get itchy skin when I go outside what is causing it?,Treatment,Allergy,,,,,
Symptoms Management & Treatment,Rash after sun exposure what should I do?,Treatment,Allergy,,,,,
Symptoms Management & Treatment,I keep sneezing and feel tired what do I do?,Treatment,Allergy,,,,,
Symptoms Management & Treatment,I have a runny nose and watery eyes what should I take?,Treatment,Allergy,,,,,
Symptoms Management & Treatment,I have a runny nose in the spring what should I do?,Treatment,Allergy,,,,,
Symptoms Management & Treatment,I have pain in my chest left side what do I do,Treatment,Chest Pain,,,,,
Symptoms Management & Treatment,My cough won't go away what should I take?,Treatment,Cold or Flu,,,,,
Symptoms Management & Treatment,I have a stuffy nose all the time what do I do?,Treatment,Cold or Flu,,,,,
Symptoms Management & Treatment,I have a high fever and chills what do I do?,Treatment,Cold or Flu,,,,,
Symptoms Management & Treatment,I lost my voice from a cold what do I do?,Treatment,Cold or Flu,,,,,
Symptoms Management & Treatment,I feel weak and achy all over what should I take?,Treatment,Cold or Flu,,,,,
Symptoms Management & Treatment,My child has a fever and won't eat? what do I do?,Treatment,Cold or Flu,,,,,
Symptoms Management & Treatment,"Ear pain when swallowing, what to do?",Treatment,"Ear, Nose & Throat (ENT)",,,,,
Symptoms Management & Treatment,My throat hurts when I swallow what should I do?,Treatment,"Ear, Nose & Throat (ENT)",,,,,
Symptoms Management & Treatment,What should I do for constipation?,Treatment,Gastrointestinal,,,,,
Symptoms Management & Treatment,"I get heartburn every night after I eat, what should I do?",Treatment,Gastrointestinal,,,,,
Symptoms Management & Treatment,What do I take for bloating?,Treatment,Gastrointestinal,,,,,
Symptoms Management & Treatment,How should I treat my heartburn?,Treatment,Gastrointestinal,,,,,
Symptoms Management & Treatment,"I have stomach cramps, what should I eat?",Treatment,Gastrointestinal,,,,,
Symptoms Management & Treatment,Blood in urine what should I do?,Treatment,Genitourinary,,,,,
Symptoms Management & Treatment,How do I get rid of a really bad headache?,Treatment,Headache or Migraine,,,,,
Symptoms Management & Treatment,My cut looks infected what should I do?,Treatment,Infection,,,,,
Symptoms Management & Treatment,"Lower back pain has not gotten better in two weeks, what can I do for it?",Treatment,Musculoskeletal & Joint Pain,,,,,
Symptoms Management & Treatment,What will help with my heel pain from plantar fasciitis?,Treatment,Musculoskeletal & Joint Pain,,,,,
Symptoms Management & Treatment,"Wrist hurts, what can I do to make it stop hurting?",Treatment,Musculoskeletal & Joint Pain,,,,,
Symptoms Management & Treatment,"I have shooting pain down my leg, what can I do for sciatica pain?",Treatment,Musculoskeletal & Joint Pain,,,,,
Symptoms Management & Treatment,I have knee pain climbing stairs what should I take?,Treatment,Musculoskeletal & Joint Pain,,,,,
Symptoms Management & Treatment,"I'm having hot flashes, what should I do?",Treatment,Obstetrics & Gynecology,,,,,
Symptoms Management & Treatment,How can I treat my night sweats?,Treatment,Obstetrics & Gynecology,,,,,
Symptoms Management & Treatment,"Pregnant and nauseated, what do I take?",Treatment,Obstetrics & Gynecology,,,,,
Symptoms Management & Treatment,"Pregnant and feeling lightheaded, what to do?",Treatment,Obstetrics & Gynecology,,,,,
Symptoms Management & Treatment,Feeling sick while pregnant third trimester what should I do?,Treatment,Obstetrics & Gynecology,,,,,
Symptoms Management & Treatment,"Eyes are blurry, what should I take?",Treatment,Ophthalmology,,,,,
Symptoms Management & Treatment,"My child has a rash, how should I treat it?",Treatment,Dermatology,,,,,
Symptoms Management & Treatment,Really bad acne and nothing works what should I do?,Treatment,Dermatology,,,,,
Symptoms Management & Treatment,I have a wart on my finger what should I take to get rid of it?,Treatment,Dermatology,,,,,
Symptoms Management & Treatment,"I think I have toenail fungus, what should I take?",Treatment,Dermatology,,,,,
Medication Safety & Drug Interaction,Sertraline & Ibuprofen: What will happen if I take Sertraline and Ibuprofen?,Drug Interaction,,,,Minor,SSRI,NSAID
Medication Safety & Drug Interaction,Sertraline & Omeprazole: What happens if I'm on both Sertraline and Omeprazole?,Drug Interaction,,,,Minor,SSRI,PPI
Medication Safety & Drug Interaction,"Warfarin & Acetaminophen / Hydrocodone: If I take Warfarin and then I take Acetaminophen / Hydrocodone, what will happen to me?",Drug Interaction,,,,Minor,Anticoagulant,Opioid
Medication Safety & Drug Interaction,"Warfarin & Prednisone: I'm on Warfarin, can I take Prednisone?",Drug Interaction,,,,Minor,Anticoagulant,Corticosteroid
Medication Safety & Drug Interaction,"Diazepam & Gabapentin: If I take Diazepam, what will happen if I take Gabapentin?",Drug Interaction,,,,Minor,Benzodiazepine,Anticonvulsant
Medication Safety & Drug Interaction,Diazepam & Metformin: Is it safe to take Diazepam while on Metformin?,Drug Interaction,,,,Minor,Benzodiazepine,Diabetes medication
Medication Safety & Drug Interaction,Metformin & Lisinopril: Is there any interaction between Metformin and Lisinopril?,Drug Interaction,,,,Minor,Diabetes medication,ACE inhibitor
Medication Safety & Drug Interaction,Metformin & Levothyroxine: How safe is it to take both Metformin and Levothyroxine?,Drug Interaction,,,,Minor,Diabetes medication,Hormone therapy
Medication Safety & Drug Interaction,Semaglutide & Pantoprazole: Is it ok to take Semaglutide while on Pantoprazole?,Drug Interaction,,,,Minor,GLP-1 inhibitor,PPI
Medication Safety & Drug Interaction,Semaglutide & Amlodipine: Safety of taking Semaglutide and Amlodipine?,Drug Interaction,,,,Minor,GLP-1 inhibitor,CCB
Medication Safety & Drug Interaction,Atorvastatin & Pantoprazole: Will I die if I take Atorvastatin and Pantoprazole?,Drug Interaction,,,,Minor,Statin,PPI
Medication Safety & Drug Interaction,Atorvastatin & Albuterol: What will happen if I take Atorvastatin and Albuterol?,Drug Interaction,,,,Minor,Statin,Bronchodilator
Medication Safety & Drug Interaction,Levothyroxine & Gabapentin: What happens if I'm on both Levothyroxine and Gabapentin?,Drug Interaction,,,,Minor,Hormone therapy,Anticonvulsant
Medication Safety & Drug Interaction,"Levothyroxine & Hydrochlorothiazide: If I take Levothyroxine and then I take Hydrochlorothiazide, what will happen to me?",Drug Interaction,,,,Minor,Hormone therapy,Diuretic
Medication Safety & Drug Interaction,"Lisinopril & Ibuprofen: I'm on Lisinopril, can I take Ibuprofen?",Drug Interaction,,,,Minor,ACE inhibitor,NSAID
Medication Safety & Drug Interaction,"Lisinopril & Prednisone: If I take Lisinopril, what will happen if I take Prednisone?",Drug Interaction,,,,Minor,ACE inhibitor,Corticosteroid
Medication Safety & Drug Interaction,Metoprolol & Gabapentin: Is it safe to take Metoprolol while on Gabapentin?,Drug Interaction,,,,Minor,Beta-blocker,Anticonvulsant
Medication Safety & Drug Interaction,Metoprolol & Metformin: Is there any interaction between Metoprolol and Metformin?,Drug Interaction,,,,Minor,Beta-blocker,Diabetes medication
Medication Safety & Drug Interaction,Omeprazole & Acetaminophen / Hydrocodone: How safe is it to take both Omeprazole and Acetaminophen / Hydrocodone?,Drug Interaction,,,,Minor,PPI,Opioid
Medication Safety & Drug Interaction,Omeprazole & Albuterol: Is it ok to take Omeprazole while on Albuterol?,Drug Interaction,,,,Minor,PPI,Bronchodilator
Medication Safety & Drug Interaction,Sertraline & Metoprolol: Safety of taking Sertraline and Metoprolol?,Drug Interaction,,,,Moderate,SSRI,Beta-blocker
Medication Safety & Drug Interaction,Sertraline & Losartan: Will I die if I take Sertraline and Losartan?,Drug Interaction,,,,Moderate,SSRI,ARB
Medication Safety & Drug Interaction,Warfarin & Simvastatin: What will happen if I take Warfarin and Simvastatin?,Drug Interaction,,,,Moderate,Anticoagulant,Statin
Medication Safety & Drug Interaction,Warfarin & Prednisone: What happens if I'm on both Warfarin and Prednisone?,Drug Interaction,,,,Moderate,Anticoagulant,Corticosteroid
Medication Safety & Drug Interaction,"Diazepam & Metoprolol: If I take Diazepam and then I take Metoprolol, what will happen to me?",Drug Interaction,,,,Moderate,Benzodiazepine,Beta-blocker
Medication Safety & Drug Interaction,"Diazepam & Losartan: I'm on Diazepam, can I take Losartan?",Drug Interaction,,,,Moderate,Benzodiazepine,ARB
Medication Safety & Drug Interaction,"Metformin & Simvastatin: If I take Metformin, what will happen if I take Simvastatin?",Drug Interaction,,,,Moderate,Diabetes medication,Statin
Medication Safety & Drug Interaction,Metformin & Prednisone: Is it safe to take Metformin while on Prednisone?,Drug Interaction,,,,Moderate,Diabetes medication,Corticosteroid
Medication Safety & Drug Interaction,Semaglutide & Amlodipine: Is there any interaction between Semaglutide and Amlodipine?,Drug Interaction,,,,Moderate,GLP-1 inhibitor,CCB
Medication Safety & Drug Interaction,Semaglutide & Losartan: How safe is it to take both Semaglutide and Losartan?,Drug Interaction,,,,Moderate,GLP-1 inhibitor,ARB
